,img_path,point
0,processed_image\point_0.5\001.jpg,0.5
1,processed_image\point_0.5\002.jpg,0.5
2,processed_image\point_0.5\003.jpg,0.5
3,processed_image\point_0.5\004.jpg,0.5
4,processed_image\point_0.5\005.jpg,0.5
5,processed_image\point_0.5\006.jpg,0.5
6,processed_image\point_0.5\007.jpg,0.5
7,processed_image\point_0.5\008.jpg,0.5
8,processed_image\point_0.5\009.jpg,0.5
9,processed_image\point_0.5\010.jpg,0.5
10,processed_image\point_0.5\011.jpg,0.5
11,processed_image\point_0.5\012.jpg,0.5
12,processed_image\point_0.5\013.jpg,0.5
13,processed_image\point_0.5\014.jpg,0.5
14,processed_image\point_0.5\015.jpg,0.5
15,processed_image\point_0.5\016.jpg,0.5
16,processed_image\point_0.5\017.jpg,0.5
17,processed_image\point_0.5\018.jpg,0.5
18,processed_image\point_0.5\019.jpg,0.5
19,processed_image\point_0.5\020.jpg,0.5
20,processed_image\point_0.5\021.jpg,0.5
21,processed_image\point_0.5\022.jpg,0.5
22,processed_image\point_0.5\023.jpg,0.5
23,processed_image\point_0.5\024.jpg,0.5
24,processed_image\point_0.5\025.jpg,0.5
25,processed_image\point_0.5\026.jpg,0.5
26,processed_image\point_0.5\027.jpg,0.5
27,processed_image\point_0.5\028.jpg,0.5
28,processed_image\point_0.5\029.jpg,0.5
29,processed_image\point_0.5\030.jpg,0.5
30,processed_image\point_1.0\001.jpg,1.0
31,processed_image\point_1.0\002.jpg,1.0
32,processed_image\point_1.0\003.jpg,1.0
33,processed_image\point_1.0\004.jpg,1.0
34,processed_image\point_1.0\005.jpg,1.0
35,processed_image\point_1.0\006.jpg,1.0
36,processed_image\point_1.0\007.jpg,1.0
37,processed_image\point_1.0\008.jpg,1.0
38,processed_image\point_1.0\009.jpg,1.0
39,processed_image\point_1.0\010.jpg,1.0
40,processed_image\point_1.0\011.jpg,1.0
41,processed_image\point_1.0\012.jpg,1.0
42,processed_image\point_1.0\013.jpg,1.0
43,processed_image\point_1.0\014.jpg,1.0
44,processed_image\point_1.0\015.jpg,1.0
45,processed_image\point_1.0\016.jpg,1.0
46,processed_image\point_1.0\017.jpg,1.0
47,processed_image\point_1.0\018.jpg,1.0
48,processed_image\point_1.0\019.jpg,1.0
49,processed_image\point_1.0\020.jpg,1.0
50,processed_image\point_1.0\021.jpg,1.0
51,processed_image\point_1.0\022.jpg,1.0
52,processed_image\point_1.0\023.jpg,1.0
53,processed_image\point_1.0\024.jpg,1.0
54,processed_image\point_1.0\025.jpg,1.0
55,processed_image\point_1.0\026.jpg,1.0
56,processed_image\point_1.0\027.jpg,1.0
57,processed_image\point_1.0\028.jpg,1.0
58,processed_image\point_1.0\029.jpg,1.0
59,processed_image\point_1.0\030.jpg,1.0
60,processed_image\point_1.5\001.jpg,1.5
61,processed_image\point_1.5\002.jpg,1.5
62,processed_image\point_1.5\003.jpg,1.5
63,processed_image\point_1.5\004.jpg,1.5
64,processed_image\point_1.5\005.jpg,1.5
65,processed_image\point_1.5\006.jpg,1.5
66,processed_image\point_1.5\007.jpg,1.5
67,processed_image\point_1.5\008.jpg,1.5
68,processed_image\point_1.5\009.jpg,1.5
69,processed_image\point_1.5\010.jpg,1.5
70,processed_image\point_1.5\011.jpg,1.5
71,processed_image\point_1.5\012.jpg,1.5
72,processed_image\point_1.5\013.jpg,1.5
73,processed_image\point_1.5\014.jpg,1.5
74,processed_image\point_1.5\015.jpg,1.5
75,processed_image\point_1.5\016.jpg,1.5
76,processed_image\point_1.5\017.jpg,1.5
77,processed_image\point_1.5\018.jpg,1.5
